review,sentiment
with the new update i also lost the ability to send gallery photos from within the app as other users have said it took me a long time to figure out how to fix it the other problem i have had for years is when i am listening to a voice recording and something accidentally covers my phones light sensor my screen automatically goes black and the message stops playing it takes several steps to start the message again and there is no setting to fix it it drives me crazy,negative
i like this app most of my friend and family groups have just migrated to it because of the ease that voice notes and video chat provide that said i wish there was an option to limit the picture and video autodownload by individualgroup chat and not for the whole app i have some chats where i like keeping pics but others not so much so the fact that i have to go into my folders to manually delete is a bit annoying that is why i took away a star otherwise it is a pretty good app,positive
great when it decides to work half of my messages take all day to send out most of the time and out of nowhere every call i have ends up reconnecting and then getting dropped my video calls do not work anymore since the update it is become more difficult to communicate with people by just using this app,negative
loved it but within the past update or two i have been so frustrated with the light sensor changing the way the msgs can be heard i will try to listen and it keeps stopping no matter what i try seems so random i do not know why it works or does not work at any given time and now i am trying to listen to a msg on my headphones and it switches to speaker whenever i put the phone in my pocket i do not want to have to hold the phone to hear everything and even when i do it does not play sometimes,negative
on samsung devices there is been a new update that is come through and whatsapp images do not show the latest image that has been taken for example like a screenshot that you just took will not be available in the gallery unless you go through and click the three dots and then select the photo and even when you do that you can always select one photo at a time previously all photos would be available even ones that you just took please fix this so i can give you a fivestar review,negative
as others have stated this latest release makes sharing photos from the gallery very difficult you cannot send multiple photos at once any more and you cannot write captions anymore this problem cannot be resolved as it is to do with how whatsapp accesses media from your phone utter garbage this used to be a great app now it is practically useless,negative
it is a good app and it does the job but changing from one phone to another is a total nightmare and nobody seems to be able to explain how to do it the web instructions are confusing and wrong the independent websites are confusing and wrong and i just want to transfer everything including chats from an old phone and number to a new phone and number i feel like it would be easier to build a faster than light spaceship and i also feel like it is a lot harder than it absolutely has to be,negative
new update sucks  please revert photo sharing features to how it worked before now instead of seeing my photos to send i see photos i have already sent i do not want that also once i found the secret photo menu i can only select one photo at a time sux sux sux  i get it  you do not want us to use your storage do not care incentive us another way please fix photo sharing,negative
fingerprint lock not working i just got a new pixel  pro and when i switched phones the app is not maintaining the fingerprint lock setting it only works randomly sometimes i open the app it does not ask for a fingerprint and other times it does even though the setting is enabled i have deleted and redownloaded the app cleared the cache disabled and reenabled the setting again nothing has worked to make it prompt me every time for a fingerprint,negative
my earbuds tozo t do not work in calls at all anymore but work perfectly fine in every other app on my phone which is super annoying because my current phone does not have a headphone jack so i am stuck either being on calls with them on speaker or holding up my phone all the time additionally the new update makes sending photos a nightmare with all the additional clicks you have to go through only to be able to send one photo at a time ,negative
i would give more than  stars if i could reach someone to resolve issue whenever i attempt to attach photosvideo from gallery it wont allow me to select them of course i also have to select gallery from the  buttons on the right but regardless i cannot select and send this is very frustrating as i use this for work and used to be able to do this with captions for each pic now i have to attach write caption send and do it again from another app,negative
the notification feature was eliminated from the android version iphone still has this feature this is why i give them  star i wish i could give it  stars instead of improving it they made it worse terrible sound quality the sound cuts in and out often to the point where you just hangup,negative
was good but the latest update does not allow you to select multiple pictures to send you have to send one at a time it now also requires multiple steps to get to your album just to be able to share pics so you have to go through multiple steps to get to your gallery which was not intuitive after years of using it and you can only select  pic at a time,negative
cannot give this app more than a  it is definitely meant for transitory experiences and not keeping things longer term you can export but not import chat histories restore from local database does not work no way to keep messages if you somehow end up with them on multiple phones from say using a new number without merging accounts immediately sad situation for ppl who like memories i would recommend telegram or some other messaging app,positive
since the last update like everyone else mentioned i cannot send photos directly from the app it takes forever for the photos to actually show up when i try to find it thru the app no matter if it is a photo i just took or a screen capture also when i try to change my whatsapp wallpaper it limits the folder that i can choose from so not quite exactly all of my photos not even when i screenshot it and hoping it would show up as my photos nope,negative
image attachments have stopped working you can no longer type a message and insert an image it has to be two separate messages it also opens up a different gallery view to the normal one meaning that you can only see the images already in what is app i have tried uninstalling and reinstalling but it is still not working please can this be resolved asap ok i have looked into this and there is an app called telegram it solves all of the problems above,negative
the worst app i have ever used chat backup works terrible and there seems not to be any intention to improve it the process to add stickers is archaic incredible that in  it does not have a function to send a message at a specific time or even to play a voice message with the screen turned off not even a thing is good in this app the best word to describe it is disaster,negative
sending images is such a hassle after the update now when you want to attach an image you can only view images that you have received on whatsapp you have to take extra steps to browse through your gallery to send an image from your gallery as an attachment which is okay but you cannot select multiple images i cannot imagine why you have done this it is unbelievably frustrating,negative
it is one of the best app for free messaging video and voice calls it also have group and community features which are also best for sending messages to many people at same time although the calling function does not works at saudi arabia so if the developer can fix it it would be great as well as there is no the ads moreover we can change theme chat wallpaper and the new avatar feature is also great,positive
after the latest update i am having problem while viewing videos the volume control does not stay fixed it keeps coming to zero while viewing the videos the same thing happens during video calls often the volume control panel remains on the left side of the screen this is a terrible situation as i do not know how to remove the latest update please rectify the problem speedily through another update thanks,negative
i am having a problem with optimisation and syncing messages notifications reaches hours and hours later yesterday evenings messages notifications arrived today morning until the last few days i had not seen a problem like this before receiving messages and their notifications is a basic function of a messaging app and it should be if this will not happen in whatsapp then why would i use it please solve this problem because it is quite frustrating disrupting and annoying,negative
love this app lately tho it has become very unstable notifications not coming thru the way they used to the delivery ticks are not turning blue when other party has read the message this is only sporadic not constant but stillcan something be done this has started just a few months ago before the most recent playstore update which did not fix the instability,negative
had a great experience so far  however after the recent update  whattsapp calls are taking way too long to connect  both incoming and outgoing  have not checked on video calls though  messaging is working pretty fine  also while trying to attach a image from within the chat window  especially which has been taken as a screenshot   it is not able to locate the image have to go to the gallery and use the share option on the image i am using a oneplus  pro,positive
since the last update the app does not allow you to send multiple photos you have to send them one at a time which is frustrating and on top of that you no longer have access to your camera gallery you have to go through multiple stupid annoying steps to try to find the camera pictures to send  by  this app has changed for the worse it is now useless and garbage very disappointing,negative
the app used to be great now they have changed the way the app orders it is messages ie if you delete messages from a conversion the conversation still stays at the top of the list where it used to fall back down the list to the relevant date order of the last message this is really frustrating would be good to revert it to his out used to be or give users the option in settings,negative
not entirely sure what they have done in the most recent update but i now cannot select a picture from my standard photo gallery without digging into the three dot menu also when sending a picture i write text to describe it and that vanishes and only the picture gets sent and i then have to retype the message clearly no quality control going on,negative
terrible update user experience sucks i am a very early user of this app and have seen it change and grow over the years but the most recent update has removed all the functionality that make it better than your standard sms as others have mentioned sending photos now is a tedious process of multiple screens and menus also pictures sent through this app no longer appear in the phones gallery anywhere the old whatsapp folders for images and videos no longer populate absolute garbage,negative
no longer able to select more than one image to send in one go have to select one send then go back digging for the photos folder to select anotherthis is another frustrating bit photos folder is no longer set up as default you have to search it through three dots at the top i choose facebook messenger more often for these reasons  i think i will delete the app if this does not get sorted,negative
i have always loved whatsapp number  app for fast clear communication the internet is not always the best on calls but it has improved immensely over the years if i was to add a suggestion though i think it would be awesome to have display pictures that loop and also its really annoying having to keep adjusting photos to fit into the box  when it does the image comes out blurry please fix so we can upload photos with larger size dimensions i hope someone gets to see this as its a good idea,positive
after the recent update i am not able to view the photos which are set to view only once in addition to that i am not able to backup my chats to google drive it always stops at  even though there is enough space on my drive the customer support just sends automated messages and is of no help really disappointed with the customer support,negative
brilliant use it every day and it works for me and all my friends there is a lot of privacy you have and even whatsapp cannot read the messages you send if you want more privacy on chats and etc you can definitely change the settings easily whatsapp is good at sending photos and unlike snapchat the messages and photos you send do not dissappear so you can go back and read or look at old things i think it really is a great messaging app there are also no ads,positive
the app has improved a lot but the backup is very messy takes up the entire bandwidth for the backup and wifi is pretty much unusable for anything else when the backup is uploading would not have minded if a specific time could be selected to do the upload we cannot select a time for the backup to upload the backup would be created during inactive hours but will not get uploaded until i wake up and try to use the phone then wifi is unusable every morning after waking up frustrating at times,negative
what have you done in the last update i can no longer have samsung gallery as the default gallery i have to go through multiple menus to get to the gallery then i can only select one image at a time if i write text then go to attach an image then all my text dissapears this is very frustrating tried uninstalling and reinstalling whatsapp all permissions allowed samsung s ultra latest software all updates can you please fix this,negative
it is a great chatting apptexting app however i hate the fact that photos are saved automatically to the gallery on my phone please just keep photos and videos that are sent back and fourth to each chat just in the chat and not saved anywhere else these extra memesphotos i have on my gallery are making the memory on my phone become extremely full and it is unnecessary a literal waste of space thank you,negative
seems like im experiencing the same issue as others i used to be able to send multiple images directly from the paper clip option but like others i now have to click the  dots then select gallery to then only be able to select one image at a time then repeat the process if i want to send multiple images which is not great user experience at all genuinely for the first time looking up other messaging platforms as this is just ridiculous nd jan   what is going on whatsapp,negative
restoration of the backup process is full of glitches which can easily cause you to lose access to all your backed up chats media etc customer care is non existent when it comes to any solving issues automated messages are the most you can get out of them for such a widely used app this is extremely frustrating and disappointing,negative
